public_holiday,date
Neujahr,2024-01-01
Heilige Drei Koenige,2024-01-06
Karfreitag,2024-03-29
Ostermontag,2024-04-01
Tag der Arbeit,2024-05-01
Christi Himmelfahrt,2024-05-09
Pfingstmontag,2024-05-20
Fronleichnam,2024-05-30
Tag der Deutschen Einheit,2024-10-03
Allerheiligen,2024-11-01
Weihnachten,2024-12-25
Weihnachten,2024-12-26
Neujahr,2023-01-01
Heilige Drei Koenige,2023-01-06
Karfreitag,2023-04-07
Ostermontag,2023-04-10
Tag der Arbeit,2023-05-01
Christi Himmelfahrt,2023-05-18
Pfingstmontag,2023-05-29
Fronleichnam,2023-06-08
Tag der Deutschen Einheit,2023-10-03
Allerheiligen,2023-11-01
Weihnachten,2023-12-25
Weihnachten,2023-12-26
Neujahr,2022-01-01
Heilige Drei Koenige,2022-01-06
Karfreitag,2022-04-15
Ostermontag,2022-04-18
Tag der Arbeit,2022-05-01
Christi Himmelfahrt,2022-05-26
Pfingstmontag,2022-06-06
Fronleichnam,2022-06-16
Tag der Deutschen Einheit,2022-10-03
Allerheiligen,2022-11-01
Weihnachten,2022-12-25
Weihnachten,2022-12-26
Neujahr,2021-01-01
Heilige Drei Koenige,2021-01-06
Karfreitag,2021-04-02
Ostermontag,2021-04-05
Tag der Arbeit,2021-05-01
Christi Himmelfahrt,2021-05-13
Pfingstmontag,2021-05-24
Fronleichnam,2021-06-03
Tag der Deutschen Einheit,2021-10-03
Allerheiligen,2021-11-01
Weihnachten,2021-12-25
Weihnachten,2021-12-26
Neujahr,2019-01-01
Heilige Drei Koenige,2019-01-06
Karfreitag,2019-04-19
Ostermontag,2019-04-22
Tag der Arbeit,2019-05-01
Christi Himmelfahrt,2019-05-30
Pfingstmontag,2019-06-10
Fronleichnam,2019-06-20
Tag der Deutschen Einheit,2019-10-03
Allerheiligen,2019-11-01
Weihnachten,2019-12-25
Weihnachten,2019-12-26
Neujahr,2020-01-01
Heilige Drei Koenige,2020-01-06
Karfreitag,2020-04-10
Ostermontag,2020-04-13
Tag der Arbeit,2020-05-01
Christi Himmelfahrt,2020-05-21
Pfingstmontag,2020-06-01
Fronleichnam,2020-06-11
Tag der Deutschen Einheit,2020-10-03
Allerheiligen,2020-11-01
Weihnachten,2020-12-25
Weihnachten,2020-12-26
Neujahr,2018-01-01
Heilige Drei Koenige,2018-01-06
Karfreitag,2018-03-30
Ostermontag,2018-04-02
Tag der Arbeit,2018-05-01
Christi Himmelfahrt,2018-05-10
Pfingstmontag,2018-05-21
Fronleichnam,2018-05-31
Tag der Deutschen Einheit,2018-10-03
Allerheiligen,2018-11-01
Weihnachten,2018-12-25
Weihnachten,2018-12-26
Neujahr,2017-01-01
Heilige Drei Koenige,2017-01-06
Karfreitag,2017-04-14
Ostermontag,2017-04-17
Tag der Arbeit,2017-05-01
Christi Himmelfahrt,2017-05-25
Pfingstmontag,2017-06-05
Fronleichnam,2017-06-15
Tag der Deutschen Einheit,2017-10-03
Reformationstag,2017-10-31
Allerheiligen,2017-11-01
Weihnachten,2017-12-25
Weihnachten,2017-12-26
Neujahr,2016-01-01
Heilige Drei Koenige,2016-01-06
Karfreitag,2016-03-25
Ostermontag,2016-03-28
Tag der Arbeit,2016-05-01
Christi Himmelfahrt,2016-05-05
Pfingstmontag,2016-05-16
Fronleichnam,2016-05-26
Tag der Deutschen Einheit,2016-10-03
Allerheiligen,2016-11-01
Weihnachten,2016-12-25
Weihnachten,2016-12-26
Neujahr,2015-01-01
Heilige Drei Koenige,2015-01-06
Karfreitag,2015-04-03
Ostermontag,2015-04-06
Tag der Arbeit,2015-05-01
Christi Himmelfahrt,2015-05-14
Pfingstmontag,2015-05-25
Fronleichnam,2015-06-04
Tag der Deutschen Einheit,2015-10-03
Allerheiligen,2015-11-01
Weihnachten,2015-12-25
Weihnachten,2015-12-26
Neujahr,2014-01-01
Heilige Drei Koenige,2014-01-06
Karfreitag,2014-04-18
Ostermontag,2014-04-21
Tag der Arbeit,2014-05-01
Christi Himmelfahrt,2014-05-29
Pfingstmontag,2014-06-09
Fronleichnam,2014-06-19
Tag der Deutschen Einheit,2014-10-03
Allerheiligen,2014-11-01
Weihnachten,2014-12-25
Weihnachten,2014-12-26
Neujahr,2013-01-01
Heilige Drei Koenige,2013-01-06
Karfreitag,2013-03-29
Ostermontag,2013-04-01
Tag der Arbeit,2013-05-01
Christi Himmelfahrt,2013-05-09
Pfingstmontag,2013-05-20
Fronleichnam,2013-05-30
Tag der Deutschen Einheit,2013-10-03
Allerheiligen,2013-11-01
Weihnachten,2013-12-25
Weihnachten,2013-12-26
Neujahr,2012-01-01
Heilige Drei Koenige,2012-01-06
Karfreitag,2012-04-06
Ostermontag,2012-04-09
Tag der Arbeit,2012-05-01
Christi Himmelfahrt,2012-05-17
Pfingstmontag,2012-05-28
Fronleichnam,2012-06-07
Tag der Deutschen Einheit,2012-10-03
Allerheiligen,2012-11-01
Weihnachten,2012-12-25
Weihnachten,2012-12-26
